SKU,Meal,Type,Main Ingredient,Carbohydrate (%),Protein (%),Fat (%),Date,Calories,Carbohydrates (g),Protein (g),Fat (g)
K107,Sautéed Fish with Buttered Spinach,Keto,Seafood,10,30,60,2024-11-04 17:00:00,2202,28.5374796,85.61243879999999,171.22487759999999
K007,Skillet Chicken Parmesan,Keto,Chicken,10,30,60,2024-11-05 17:00:00,2008,26.0232784,78.06983519999999,156.13967039999997
K002,Greek Meatballs,Keto,Beef,10,30,60,2024-11-06 17:00:00,2130,27.604373999999996,82.81312199999999,165.62624399999999
K119,Cauliflower Benedict,Keto,Meat-Free,10,30,60,2024-11-07 17:00:00,2174,28.1746052,84.52381559999999,169.04763119999998
K125,Creamy Chicken and Spinach,Keto,Chicken,10,30,60,2024-11-08 17:00:00,2280,29.548343999999997,88.645032,177.290064
K109,Seared Fish with Asparagus,Keto,Seafood,10,30,60,2024-11-11 17:00:00,2031,26.3213538,78.96406139999999,157.92812279999998
K025,Turmeric Fish & Cauli Rice,Keto,Seafood,10,30,60,2024-11-12 17:00:00,2283,29.5872234,88.7616702,177.5233404
K052,Cheese-Burger Meatloaf with BBQ Mayo,Keto,Beef,10,30,60,2024-11-13 17:00:00,2164,28.045007199999997,84.13502159999999,168.27004319999998
K003,Fried Salmon Patties,Keto,Seafood,10,30,60,2024-11-14 17:00:00,2132,27.6302936,82.89088079999999,165.78176159999998
K121,Beef Salad with Mozzarella and Tomato,Keto,Beef,10,30,60,2024-11-15 17:00:00,2245,29.094751,87.28425299999999,174.56850599999999
K085,Broccoli Salad,Keto,Meat-Free,10,30,60,2024-11-18 17:00:00,2148,27.8376504,83.51295119999999,167.02590239999998
K001,Herbed Chicken with Mushrooms,Keto,Chicken,10,30,60,2024-11-19 17:00:00,2276,29.4965048,88.48951439999999,176.97902879999998
K013,Keto Margherita Pizza,Keto,Meat-Free,10,30,60,2024-11-20 17:00:00,2035,26.373192999999997,79.11957899999999,158.23915799999997
K079,Creamy Dijon Chicken,Keto,Chicken,10,30,60,2024-11-21 17:00:00,2025,26.243595,78.730785,157.46157
K079,Creamy Dijon Chicken,Keto,Chicken,10,30,60,2024-11-22 17:00:00,2089,27.0730222,81.21906659999999,162.43813319999998
K002,Greek Meatballs,Keto,Beef,10,30,60,2024-11-25 17:00:00,2242,29.0558716,87.1676148,174.3352296
K069,Pulled Chicken,Keto,Chicken,10,30,60,2024-11-26 17:00:00,2110,27.345177999999997,82.035534,164.071068
K099,Mexican Taco Salad,Keto,Beef,10,30,60,2024-11-27 17:00:00,2071,26.8397458,80.5192374,161.0384748
K097,"Cauliflower ""Mac"" N' Cheese",Keto,Meat-Free,10,30,60,2024-11-28 17:00:00,2155,27.928368999999996,83.785107,167.570214
K056,Sesame Fish with Thai Curry Cabbage,Keto,Seafood,10,30,60,2024-11-29 17:00:00,2049,26.5546302,79.66389059999999,159.32778119999998
